key,en,vi,ru,cn,jp,kr,in,de
"""Available balance""","""Available balance""","""Số dư khả dụng""","""Доступный баланс""","""可用余额""","""利用可能残高""","""사용 가능 잔액""","""उपलब्ध शेष""","""Verfügbares Guthaben"""
"""Withdraw""","""Withdraw""","""Rút""","""Вывести""","""提取""","""引き出す""","""출금""","""निकालना""","""Abheben"""
"""Deposit""","""Deposit""","""Nạp""","""Пополнить""","""充值""","""入金""","""입금""","""जमा करना""","""Einzahlen"""
"""Transfer M-Coin""","""Transfer M-Coin""","""Chuyển M-Coin""","""Перевести M-Coin""","""转账M-Coin""","""M-Coinを転送する""","""M-Coin 전송""","""M-Coin ट्रांसफर करें""","""M-Coin übertragen"""
"""Enter the recipient's ID""","""Enter the recipient's ID""","""Nhập ID nhận""","""Введите ID получателя""","""输入接收者ID""","""受信者のIDを入力""","""수신자 ID 입력""","""रिसीवर का ID दर्ज करें""","""Empfänger-ID eingeben"""
"""Not enough M-Coin to transfer""","""Not enough M-Coin to transfer""","""Không đủ M-Coin để chuyển""","""Недостаточно M-Coin для перевода""","""没有足够的M-Coin进行转账""","""M-Coinが不足して転送できません""","""전송할 M-Coin이 충분하지 않음""","""ट्रांसफर के लिए M-Coin पर्याप्त नहीं है""","""Nicht genügend M-Coin für die Übertragung"""
"""Transfer success""","""Transfer success""","""Chuyển thành công""","""Перевод выполнен успешно""","""转账成功""","""転送が成功しました""","""전송 성공""","""ट्रांसफर सफल""","""Übertragung erfolgreich"""
"""Recipient's ID must not be empty""","""Recipient's ID must not be empty""","""ID nhận không được trống""","""ID получателя не должен быть пустым""","""收件人ID不能为空""","""受信者のIDは空にできません""","""수신자 ID는 비워둘 수 없습니다""","""प्राप्तकर्ता का ID खाली नहीं होना चाहिए""","""Empfänger-ID darf nicht leer sein"""
"""Number must not be empty""","""Number must not be empty""","""Số không được trống""","""Номер не должен быть пустым""","""数字不能为空""","""番号を空にすることはできません""","""숫자는 비워둘 수 없습니다""","""संख्या खाली नहीं होनी चाहिए""","""Die Nummer darf nicht leer sein"""
"""Transactions History""","""Transactions History""","""Lịch sử giao dịch""","""История транзакций""","""交易历史""","""取引履歴""","""거래 내역""","""लेनदेन का इतिहास""","""Transaktionsverlauf"""
"""Change Wallet""","""Change Wallet""","""Đổi ví""","""Сменить кошелек""","""更换钱包""","""ウォレットを変更""","""지갑 변경""","""वॉलेट बदलें""","""Wallet wechseln"""
"""Connect Wallet""","""Connect Wallet""","""Kết nối ví""","""Подключить кошелек""","""连接钱包""","""ウォレットを接続""","""지갑 연결""","""वॉलेट कनेक्ट करें""","""Wallet verbinden"""
"""Select wallet""","""Select wallet""","""Chọn ví""","""Выбрать кошелек""","""选择钱包""","""ウォレットを選択""","""지갑 선택""","""वॉलेट चुनें""","""Wallet auswählen"""
"""SUI Wallet""","""SUI Wallet""","""Ví SUI""","""Кошелек SUI""","""SUI钱包""","""SUIウォレット""","""SUI 지갑""","""SUI वॉलेट""","""SUI Wallet"""
"""TON Wallet""","""TON Wallet""","""Ví TON""","""Кошелек TON""","""TON钱包""","""TONウォレット""","""TON 지갑""","""TON वॉलेट""","""TON Wallet"""
"""Enter number to withdraw""","""Enter number to withdraw""","""Nhập số lượng để rút""","""Введите количество для вывода""","""输入提款数量""","""出金額を入力してください""","""출금할 금액을 입력하세요""","""निकासी के लिए राशि दर्ज करें""","""Geben Sie die Auszahlungsmenge ein"""
"""M-Coin withdraw""","""M-Coin withdraw""","""Rút M-Coin""","""Вывести M-Coin""","""提取 M-Coin""","""M-Coinを引き出す""","""M-Coin 출금""","""M-Coin निकासी""","""M-Coin abheben"""
"""Amount must not be empty""","""Amount must not be empty""","""Số lượng không được để trống""","""Сумма не должна быть пустой""","""金额不能为空""","""金額を空にすることはできません""","""금액은 비워둘 수 없습니다""","""राशि खाली नहीं होनी चाहिए""","""Der Betrag darf nicht leer sein"""
"""TON will be transferred to your wallet in 10 minutes.""","""TON will be transferred to your wallet in 10 minutes.""","""TON sẽ được chuyển về ví trong 10 phút.""","""TON будет переведен на ваш кошелек в течение 10 минут.""","""TON 将在 10 分钟内转入您的钱包。""","""TONは10分以内にウォレットに転送されます。""","""TON은 10분 안에 지갑으로 전송됩니다.""","""TON आपके वॉलेट में 10 मिनट में ट्रांसफर किया जाएगा।""","""TON wird in 10 Minuten auf Ihr Wallet übertragen."""
"""Withdraw fail""","""Withdraw fail""","""Rút thất bại""","""Ошибка вывода""","""提取失败""","""引き出し失敗""","""출금 실패""","""निकासी विफल""","""Auszahlung fehlgeschlagen"""
"""Do you want to withdraw {i} M-Coin to your wallet?""","""Do you want to withdraw {i} M-Coin to your wallet?""","""Bạn có muốn rút {i} M-Coin về ví không?""","""Вы хотите вывести {i} M-Coin на ваш кошелек?""","""您想将 {i} M-Coin 提现到您的钱包吗？""","""{i} M-Coinをウォレットに引き出しますか？""","""{i} M-Coin을 지갑으로 출금하시겠습니까?""","""क्या आप {i} M-Coin को अपने वॉलेट में निकालना चाहते हैं?""","""Möchten Sie {i} M-Coin auf Ihr Wallet überweisen?"""
"""Cancel""","""Cancel""","""Hủy""","""Отменить""","""取消""","""キャンセル""","""취소""","""रद्द करें""","""Abbrechen"""
"""Chip to $MSCI""","""Chip to $MSCI""","""Chip sang $MSCI""","""Чип в $MSCI""","""芯片转换为$MSCI""","""チップを$MSCIに変換""","""칩을 $MSCI로 전환""","""चिप को $MSCI में बदलें""","""Chip in $MSCI umwandeln"""
"""convertBtnKey""","""Convert to \n$MSCI""","""Đổi sang \n$MSCI""","""Конвертировать в \n$MSCI""","""转换为\n$MSCI""","""変換する\n$MSCI""","""변환하기\n$MSCI""","""बदलें\n$MSCI में""","""Umwandeln in\n$MSCI"""
"""converHistoryBtnKey""","""Convert \nHistory""","""Lịch sử \nquy đổi""","""История \nконвертации""","""转换\n历史""","""変換\n履歴""","""변환\n기록""","""रूपांतरण\nइतिहास""","""Konvertierungs-\nverlauf"""
"""Total Chip in server""","""Total Chip in server""","""Tổng Chip trong máy chủ""","""Общее количество чипов на сервере""","""服务器中的总筹码""","""サーバー内のチップ総数""","""서버의 총 칩""","""सर्वर में कुल चिप""","""Gesamtanzahl Chips auf dem Server"""
"""Total $MSCI to convert""","""Total $MSCI to convert""","""Tổng $MSCI chuyển đổi""","""Общая сумма $MSCI для конвертации""","""要转换的$MSCI总额""","""変換する$MSCIの合計""","""전환할 $MSCI 총액""","""$MSCI के कुल रूपांतरण""","""Gesamtsumme $MSCI zur Konvertierung"""
"""Convert rate""","""Convert rate""","""Tỷ lệ chuyển đổi""","""Курс конвертации""","""转换率""","""変換レート""","""변환 비율""","""रूपांतरण दर""","""Wechselkurs"""
"""Time left""","""Time left""","""Thời gian còn lại""","""Оставшееся время""","""剩余时间""","""残り時間""","""남은 시간""","""शेष समय""","""Verbleibende Zeit"""
"""Your Chip""","""Your Chip""","""Chip của bạn""","""Ваши чипы""","""你的筹码""","""あなたのチップ""","""당신의 칩""","""आपका चिप""","""Deine Chips"""
"""Level pass""","""Level pass""","""Màn đã qua""","""Пройденные уровни""","""已通过的关卡""","""クリアしたレベル""","""통과한 레벨""","""पारित स्तर""","""Überwundene Level"""
"""Your % total Chip to convert""","""Your % total Chip to convert""","""Tổng % Chip quy đổi của bạn""","""Процент ваших чипов для конвертации""","""您要转换的筹码百分比""","""変換するチップの割合""","""전환할 칩의 비율""","""परिवर्तित करने के लिए आपके कुल चिप प्रतिशत""","""Prozentualer Anteil der Chips zur Konvertierung"""
"""Your total Chip to convert""","""Your total Chip to convert""","""Tổng Chip quy đổi của bạn""","""Общее количество ваших чипов для конвертации""","""您要转换的总筹码""","""変換するチップの合計""","""전환할 총 칩""","""आपके कुल रूपांतरण चिप""","""Gesamtzahl Ihrer Chips zur Konvertierung"""
"""$MSCI price""","""$MSCI price""","""Giá $MSCI""","""Общее количество ваших чипов для конвертации""","""您要转换的总筹码""","""変換するチップの合計""","""전환할 총 칩""","""आपके कुल रूपांतरण चिप""","""Gesamtzahl Ihrer Chips zur Konvertierung"""
"""Growth rate""","""Growth rate""","""Tỷ lệ tăng trưởng""","""Общее количество ваших чипов для конвертации""","""您要转换的总筹码""","""変換するチップの合計""","""전환할 총 칩""","""आपके कुल रूपांतरण चिप""","""Gesamtzahl Ihrer Chips zur Konvertierung"""
"""Your $MSCI""","""Your $MSCI""","""Tỷ lệ tăng trưởng""","""Общее количество ваших чипов для конвертации""","""您要转换的总筹码""","""変換するチップの合計""","""전환할 총 칩""","""आपके कुल रूपांतरण चिप""","""Gesamtzahl Ihrer Chips zur Konvertierung"""
