key,en,vi,ru,cn,jp,kr,in,de
"""Monday""","""Monday""","""Thứ 2""","""Понедельник""","""星期一""","""月曜日""","""월요일""","""सोमवार""","""Montag"""
"""Tuesday""","""Tuesday""","""Thứ 3""","""Вторник""","""星期二""","""火曜日""","""화요일""","""मंगलवार""","""Dienstag"""
"""Wednesday""","""Wednesday""","""Thứ 4""","""Среда""","""星期三""","""水曜日""","""수요일""","""बुधवार""","""Mittwoch"""
"""Thursday""","""Thursday""","""Thứ 5""","""Четверг""","""星期四""","""木曜日""","""목요일""","""गुरुवार""","""Donnerstag"""
"""Friday""","""Friday""","""Thứ 6""","""Пятница""","""星期五""","""金曜日""","""금요일""","""शुक्रवार""","""Freitag"""
"""Saturday""","""Saturday""","""Thứ 7""","""Суббота""","""星期六""","""土曜日""","""토요일""","""शनिवार""","""Samstag"""
"""Sunday""","""Sunday""","""Chủ nhật""","""Воскресенье""","""星期日""","""日曜日""","""일요일""","""रविवार""","""Sonntag"""
"""Receive 1000 Chip""","""Receive 1000 Chip""","""Nhận 1000 Chip""","""Получить 1000 Чипов""","""获得1000筹码""","""1000チップを受け取る""","""1000칩 받기""","""1000 चिप प्राप्त करें""","""1000 Chips erhalten"""
"""Receive 1 Piece Ticket""","""Receive 1 Piece Ticket""","""Nhận 1 Vé mảnh""","""Получить 1 билет""","""获得1张碎片券""","""1枚のチケットを受け取る""","""1장의 티켓 받기""","""1 टिकट प्राप्त करें""","""1 Teil-Ticket erhalten"""
"""Receive 1 out of 3 C rank character: Marcus, David, Henry""","""Receive 1 out of 3 C rank character: Marcus, David, Henry""","""Nhận ngẫu nhiên Hộp nhân vật: Marcus, David, Henry ""","""Получить одного из 3 персонажей C-ранга: Маркус, Дэвид, Генри""","""随机获得C级角色：马库斯、大卫、亨利""","""Cランクキャラクター1体を入手：マーカス、デイビッド、ヘンリー""","""C랭크 캐릭터 1명 획득: 마커스, 데이비드, 헨리""","""3つのCランクキャラクターから1体を獲得：マーカス、デイビッド、ヘンリー""","""Einen von 3 C-Rang Charakteren erhalten: Marcus, David, Henry"""
