key,en,vi,ru,cn,jp,kr,in,de
"""Start: ""","""Start: ""","""Bắt đầu: ""","""Начало: ""","""开始: ""","""開始: ""","""시작: ""","""शुरुआत: ""","""Start: """
"""End: ""","""End: ""","""Kết thúc: ""","""Конец: ""","""结束: ""","""終了: ""","""끝: ""","""अंत: ""","""Ende: """
"""Fight""","""Fight""","""Chiến đấu""","""Бой""","""战斗""","""戦う""","""전투""","""लड़ाई""","""Kampf"""
"""Lives: ""","""Lives: ""","""Mạng sống: ""","""Жизни: ""","""生命: ""","""ライフ: ""","""생명: ""","""जीवन: ""","""Leben: """
"""Time remaining: ""","""Time remaining: ""","""Thời gian còn lại: ""","""Оставшееся время: ""","""剩余时间: ""","""残り時間: ""","""남은 시간: ""","""शेष समय: ""","""Verbleibende Zeit: """
"""Players: ""","""Players: ""","""Người chơi: ""","""Игроки: ""","""玩家: ""","""プレイヤー: ""","""플레이어: ""","""खिलाड़ी: ""","""Spieler: """
"""Health: ""","""Health: ""","""Máu: ""","""Здоровье: ""","""生命值: ""","""体力: ""","""체력: ""","""स्वास्थ्य: ""","""Gesundheit: """
"""Shield: ""","""Shield: ""","""Giáp: ""","""Щит: ""","""护盾: ""","""シールド: ""","""방어막: ""","""ढाल: ""","""Schild: """
"""No lives remain to play""","""No lives remain to play""","""Không còn mạng để chơi""","""Жизни закончились""","""没有剩余生命""","""残りの命がない""","""잔여 생명이 없다""","""कोई जीवन नहीं बचा""","""Keine Leben übrig zum Spielen"""
"""Boss match ended""","""Boss match ended""","""Trận đấu với trùm đã kết thúc""","""Бой с боссом завершен""","""与Boss的对决已结束""","""ボス戦終了""","""보스전 종료""","""बॉस मैच समाप्त""","""Boss-Kampf beendet"""
