key,en,vi,ru,cn,jp,kr,in,de
"""Stage ""","""Stage ""","""Màn ""","""Уровень ""","""等级""","""レベル""","""레벨""","""स्तर""","""Stufe"""
"""Fight""","""Fight""","""Chiến""","""Бой""","""战斗""","""戦う""","""전투""","""लड़ाई""","""Kampf"""
"""Replay""","""Replay""","""Chơi lại""","""Повтор""","""重播""","""リプレイ""","""재생""","""पुनरावृत्ति""","""Wiederholung"""
"""Time: ""","""Time: ""","""Thời gian: ""","""Время: ""","""时间：""","""時間：""","""시간: ""","""समय: ""","""Zeit: """
"""Daily Chip reward: +""","""Daily Chip reward: +""","""Chip hàng ngày: +""","""Ежедневная награда чипов: +""","""每日芯片奖励：+""","""毎日チップ報酬：+""","""일일 칩 보상: +""","""दैनिक चिप पुरस्कार: +""","""Tägliche Chip-Belohnung: +"""
"""You have reached level ""","""You have reached level ""","""Bạn đã đạt màn tối đa ""","""Вы достигли уровня ""","""你已达到等级""","""あなたはレベルに達しました""","""레벨에 도달했습니다""","""आपने स्तर प्राप्त किया है""","""Sie haben Stufe erreicht"""
"""Earth""","""Earth""","""Trái đất""","""Земля""","""地球""","""地球""","""지구""","""पृथ्वी""","""Erde"""
"""Space""","""Space""","""Không gian""","""Космос""","""太空""","""宇宙""","""우주""","""अंतरिक्ष""","""Weltraum"""
"""Mars""","""Mars""","""Sao Hỏa""","""Марс""","""火星""","""火星""","""화성""","""मंगल""","""Mars"""
"""Return Earth""","""Return Earth""","""Trở lại Trái Đất""","""Вернуться на Землю""","""返回地球""","""地球に戻る""","""지구로 돌아가기""","""पृथ्वी पर वापस जाएं""","""Zur Erde zurückkehren"""
"""X-Corp""","""X-Corp""","""Tập đoàn X""","""X-Корп""","""X集团""","""X社""","""X-그룹""","""X-कॉर्प""","""X-Konzern"""
"""Cancel""","""Cancel""","""Hủy""","""Отменить""","""取消""","""キャンセル""","""취소""","""रद्द करें""","""Abbrechen"""
