key,en,vi,ru,cn,jp,kr,in,de
"""Damage:""","""Damage:""","""Sát thương:""","""Урон:""","""伤害：""","""ダメージ：""","""데미지:""","""नुकसान:""","""Schaden:"""
"""Fire rate:""","""Fire rate:""","""Tốc bắn:""","""Скорострельность:""","""射速：""","""射撃速度：""","""사격 속도:""","""फायर रेट:""","""Feuerrate:"""
"""Up level with {i} Chip""","""Up level with {i} Chip""","""Nâng cấp độ nhân vật với {i} Chip""","""Повысить уровень за {i} чипов""","""使用{i}芯片升级""","""{i}チップでレベルアップ""","""{i}칩으로 레벨 업""","""{i} चिप के साथ स्तर बढ़ाएं""","""Stufe mit {i} Chips erhöhen"""
"""Up level success""","""Up level success""","""Nâng cấp độ nhân vật thành công""","""Уровень повышен успешно""","""升级成功""","""レベルアップ成功""","""레벨 업 성공""","""स्तर वृद्धि सफल""","""Stufenerhöhung erfolgreich"""
"""Unequip to extract""","""Unequip to extract""","""Bỏ trang bị để phân rã""","""Снять экипировку для извлечения""","""卸下装备以分解""","""装備を外して分解""","""장비를 해제하여 분해""","""निकालने के लिए उपकरण हटाएं""","""Zum Extrahieren ausrüsten"""
"""Unequip to upgrade""","""Unequip to upgrade""","""Bỏ trang bị để nâng cấp""","""Снять экипировку для улучшения""","""卸下装备以升级""","""装備を外してアップグレード""","""장비를 해제하여 업그레이드""","""अपग्रेड के लिए उपकरण हटाएं""","""Zum Upgrade ausrüsten"""
"""The character must reach level 10 to upgrade""","""The character must reach level 10 to upgrade""","""Nhân vật phải đạt cấp 10 để nâng cấp""","""Персонаж должен достичь 10 уровня для улучшения""","""角色必须达到10级才能升级""","""キャラクターはアップグレードのためにレベル10に到達する必要があります""","""캐릭터는 업그레이드 하기 위해 레벨 10에 도달해야 합니다""","""चरित्र को अपग्रेड करने के लिए स्तर 10 तक पहुंचना चाहिए""","""Der Charakter muss Stufe 10 erreichen, um upzugraden"""
"""Not enough chip""","""Not enough chip""","""Không đủ chip""","""Недостаточно чипов""","""芯片不足""","""チップが足りない""","""칩이 부족합니다""","""चिप पर्याप्त नहीं है""","""Nicht genug Chips"""
"""Select more characters""","""Select more characters""","""Chọn thêm nhân vật""","""Выберите больше персонажей""","""选择更多角色""","""さらにキャラクターを選択""","""추가 캐릭터 선택""","""अधिक पात्र चुनें""","""Wählen Sie mehr Charaktere"""
"""Buy more MSCI Memory to use""","""Buy more MSCI Memory to use""","""Mua thêm thẻ nhớ MSCI để dùng""","""Купить больше карт памяти MSCI для использования""","""购买更多MSCI存储卡以使用""","""使用するためにMSCIメモリカードをさらに購入""","""사용하기 위해 MSC 메모리를 더 구입하세요""","""इस्तेमाल के लिए अधिक MSCI मेमोरी खरीदें""","""Kaufen Sie mehr MSCI-Speicher zum Verwenden"""
"""useMsciKey""","""Use M-SCI Memory to save Heroes from failed upgrade\nWithout M-SCI Memory heroes will be lost""","""Dùng thẻ nhớ M-SCI để giữ lại nhân vật khi nâng cấp thất bại\nKhông có thẻ nhớ M-SCI, nhân vật sẽ bị mất""","""Используйте память M-SCI, чтобы сохранить героев при неудачном улучшении\nБез памяти M-SCI герои будут потеряны""","""使用M-SCI内存保存升级失败的英雄\n没有M-SCI内存，英雄将会丢失""","""アップグレード失敗時にM-SCIメモリを使用してヒーローを保存します\nM-SCIメモリがないとヒーローは失われます""","""업그레이드 실패 시 M-SCI 메모리를 사용하여 영웅을 보존하세요\nM-SCI 메모리가 없으면 영웅은 사라집니다""","""विफल अपग्रेड से नायकों को बचाने के लिए M-SCI मेमोरी का उपयोग करें\nM-SCI मेमोरी के बिना नायक खो जाएंगे""","""Verwenden Sie M-SCI-Speicher, um Helden bei fehlgeschlagenem Upgrade zu retten\nOhne M-SCI-Speicher gehen Helden verloren"""
"""Click to use""","""Click to use""","""Chạm để dùng""","""Нажмите, чтобы использовать""","""点击使用""","""クリックして使用""","""클릭하여 사용""","""उपयोग करने के लिए क्लिक करें""","""Zum Verwenden klicken"""
"""Equip""","""Equip""","""Trang bị""","""Экипировать""","""装备""","""装備""","""장착""","""सज्जित करें""","""Ausrüsten"""
"""Unequip""","""Unequip""","""Gỡ""","""Снять""","""卸下""","""外す""","""해제""","""हटाएं""","""Abziehen"""
"""Extract""","""Extract""","""Phân rã""","""Извлечь""","""分解""","""分解""","""분해""","""निकालें""","""Extrahieren"""
"""Sell""","""Sell""","""Bán""","""Продать""","""出售""","""販売""","""판매""","""बेचें""","""Verkaufen"""
"""Mint""","""Mint""","""Tạo NFT""","""Чеканить NFT""","""铸造NFT""","""NFTをミント""","""NFT 민팅""","""NFT बनाएं""","""Prägen"""
"""Select""","""Select""","""Chọn""","""Выбрать""","""选择""","""選択""","""선택""","""चुनें""","""Auswählen"""
"""Cancel""","""Cancel""","""Hủy""","""Отменить""","""取消""","""キャンセル""","""취소""","""रद्द करें""","""Abbrechen"""
"""Level up""","""Level up""","""Nâng cấp độ""","""Повысить уровень""","""升级""","""レベルアップ""","""레벨 업""","""स्तर बढ़ाएं""","""Level aufsteigen"""
"""Upgrade""","""Upgrade""","""Nâng cấp""","""Улучшить""","""强化""","""強化""","""업그레이드""","""अपग्रेड करें""","""Verbessern"""
"""Success""","""Success""","""Thành công""","""Успех""","""成功""","""成功""","""성공""","""सफलता""","""Erfolg"""
"""Are you sure you want to extract this character ?""","""Are you sure you want to extract this character ?""","""Bạn chắc chắn muốn phân rã?""","""Вы уверены, что хотите извлечь этого персонажа?""","""你确定要分解这个角色吗？""","""このキャラクターを分解してもよろしいですか？""","""이 캐릭터를 추출하시겠습니까?""","""क्या आप निश्चित हैं कि आप इस पात्र को निकालना चाहते हैं?""","""Sind Sie sicher, dass Sie diesen Charakter extrahieren möchten?"""
"""This process will destroy the character and cannot be undone.""","""This process will destroy the character and cannot be undone.""","""Phân rã sẽ khiến anh hùng của bạn biến mất.""","""Этот процесс уничтожит персонажа и не может быть отменен.""","""此过程将销毁角色且无法撤销。""","""このプロセスはキャラクターを破壊し、元に戻せません。""","""이 과정은 캐릭터를 파괴하며 되돌릴 수 없습니다.""","""यह प्रक्रिया पात्र को नष्ट कर देगी और इसे पूर्ववत नहीं किया जा सकता है।""","""Dieser Vorgang zerstört den Charakter und kann nicht rückgängig gemacht werden."""
"""Are you sure you want to sell this character ?""","""Are you sure you want to sell this character ?""","""Bạn có chắc muốn bán nhân vật này không?""","""Вы уверены, что хотите продать этого персонажа?""","""你确定要出售这个角色吗？""","""このキャラクターを売ってよろしいですか？""","""이 캐릭터를 판매하시겠습니까?""","""क्या आप वाकई इस पात्र को बेचना चाहते हैं?""","""Möchten Sie diesen Charakter wirklich verkaufen?"""
"""Wallet is not connected""","""Wallet is not connected""","""Chưa kết nối ví""","""Кошелек не подключен""","""钱包未连接""","""ウォレットが接続されていません""","""지갑이 연결되지 않았습니다""","""वॉलेट कनेक्ट नहीं है""","""Wallet ist nicht verbunden"""
"""Coming soon...""","""Coming soon...""","""Sẽ sớm khả dụng...""","""Скоро...""","""即将推出...""","""近日公開...""","""곧 출시...""","""जल्द ही आ रहा है...""","""Demnächst verfügbar..."""
"""Evolve""","""Evolve""","""Tiến hóa""","""Эволюция""","""进化""","""進化""","""진화""","""विकास""","""Entwicklung"""
"""Unequip to evolve""","""Unequip to evolve""","""Bỏ trang bị để tiến hóa""","""Снять экипировку для эволюции""","""卸下装备以进化""","""進化のために装備を外す""","""진화를 위해 장비 해제""","""उपकरण हटाएं विकास के लिए""","""Ausrüstung entfernen für Entwicklung"""
"""useMsciKeyEvolve""","""Use M-SCI Memory to save Heroes from failed evolve\nWithout M-SCI Memory heroes will be lost""","""Dùng thẻ nhớ M-SCI để giữ lại nhân vật khi tiến hóa thất bại\nKhông có thẻ nhớ M-SCI, nhân vật sẽ bị mất""","""Используйте память M-SCI, чтобы спасти героев при неудачной эволюции\nБез M-SCI герои будут потеряны""","""使用M-SCI记忆卡保存进化失败的英雄\n没有M-SCI记忆卡，英雄将丢失""","""失敗した進化からヒーローを救うためにM-SCIメモリを使用\nM-SCIメモリがないとヒーローは失われます""","""진화에 실패한 영웅들을 M-SCI 메모리로 저장\nM-SCI 메모리가 없으면 영웅들이 사라집니다""","""असफल विकास से नायकों को बचाने के लिए M-SCI मेमोरी का उपयोग करें\nM-SCI मेमोरी के बिना नायक खो जाएंगे""","""Verwenden Sie M-SCI-Speicher, um Helden bei fehlgeschlagener Entwicklung zu retten\nOhne M-SCI-Speicher gehen Helden verloren"""
"""Not enough heroes to evolve""","""Not enough heroes to evolve""","""Không đủ anh hùng để tiến hóa""","""Недостаточно героев для эволюции""","""没有足够的英雄进行进化""","""進化するのに十分なヒーローが不足しています""","""진화할 영웅이 충분하지 않습니다""","""विकास के लिए पर्याप्त नायक नहीं हैं""","""Nicht genügend Helden zum Entwickeln"""
"""Evolve success""","""Evolve success""","""Tiến hóa thành công""","""Эволюция успешна""","""进化成功""","""進化成功""","""진화 성공""","""विकास सफल""","""Entwicklung erfolgreich"""
