key,en,vi,ru,cn,jp,kr,in,de
"""Locked""","""Locked""","""Khóa""","""Заблокировать""","""锁定""","""ロック""","""잠그기""","""ताला""","""Sperren"""
"""Unlocked""","""Unlocked""","""Đã mở""","""Разблокировано""","""已解锁""","""アンロック""","""해제됨""","""खुला हुआ""","""Entsperrt"""
"""Invite""","""Invite""","""Mời""","""Пригласить""","""邀请""","""招待する""","""초대하기""","""आमंत्रित करना""","""Einladen"""
"""First Steps""","""First Steps""","""Bước đầu""","""Первые шаги""","""第一步""","""最初の一歩""","""첫걸음""","""पहले कदम""","""Erste Schritte"""
"""Invite 10 friends to join M-SCI to receive 1 Piece ticket. Start your community building journey!""","""Invite 10 friends to join M-SCI to receive 1 Piece ticket. Start your community building journey!""","""Mời 10 người bạn tham gia M-SCI để nhận 1 vé Mảnh. Bắt đầu hành trình xây dựng cộng đồng của bạn!""","""Пригласите 10 друзей в M-SCI, чтобы получить 1 билет. Начните путь создания сообщества!""","""邀请10位朋友加入M-SCI，获得1张碎片券。开始你的社区建设之旅！""","""10人の友達をM-SCIに招待して1枚のチケットを獲得。コミュニティ作りを始めよう！""","""M-SCI에 10명의 친구를 초대하여 1장의 조각 티켓을 받으세요. 커뮤니티 구축 여정을 시작하세요!""","""M-SCI में शामिल होने के लिए 10 दोस्तों को आमंत्रित करें और 1 टिकट प्राप्त करें। अपनी समुदाय निर्माण यात्रा शुरू करें!""","""Laden Sie 10 Freunde ein, M-SCI beizutreten, um 1 Stück-Ticket zu erhalten. Beginnen Sie Ihre Community-Aufbau-Reise!"""
"""Friendly Face""","""Friendly Face""","""Gương mặt thân thiện""","""Дружелюбное лицо""","""友善面孔""","""親しみやすい顔""","""친근한 얼굴""","""दोस्ताना चेहरा""","""Freundliches Gesicht"""
"""Invite 20 friends to join M-SCI to receive 2 Piece ticket. Expand your circle of friends!""","""Invite 20 friends to join M-SCI to receive 2 Piece ticket. Expand your circle of friends!""","""Mời 20 người bạn tham gia M-SCI để nhận 2 vé Piece. Mở rộng vòng kết nối của bạn!""","""Пригласите 20 друзей в M-SCI, чтобы получить 2 билета. Расширьте свой круг общения!""","""邀请20位朋友加入M-SCI，获得2张碎片券。扩大你的朋友圈！""","""20人の友達をM-SCIに招待して2枚のチケットを獲得。交友の輪を広げよう！""","""M-SCI에 20명의 친구를 초대하여 2장의 조각 티켓을 받으세요. 친구 네트워크를 확장하세요!""","""M-SCI में शामिल होने के लिए 20 दोस्तों को आमंत्रित करें और 2 टिकट प्राप्त करें। अपने दोस्तों के चक्र का विस्तार करें!""","""Laden Sie 20 Freunde ein, M-SCI beizutreten, um 2 Stück-Tickets zu erhalten. Erweitern Sie Ihren Freundeskreis!"""
"""Rising Star""","""Rising Star""","""Ngôi sao đang lên""","""Восходящая звезда""","""新星""","""台頭する星""","""떠오르는 스타""","""उदयशील तारा""","""Aufgehender Stern"""
"""Invite 50 friends to join M-SCI to receive 5 Piece ticket. Your community is growing!""","""Invite 50 friends to join M-SCI to receive 5 Piece ticket. Your community is growing!""","""Mời 50 người bạn tham gia M-SCI để nhận 5 vé Piece. Cộng đồng của bạn đang phát triển!""","""Пригласите 50 друзей в M-SCI, чтобы получить 5 билетов. Ваше сообщество растёт!""","""邀请50位朋友加入M-SCI，获得5张碎片券。你的社区正在壮大！""","""50人の友達をM-SCIに招待して5枚のチケットを獲得。あなたのコミュニティは成長しています！""","""M-SCI에 50명의 친구를 초대하여 5장의 조각 티켓을 받으세요. 당신의 커뮤니티가 성장하고 있습니다!""","""M-SCI में शामिल होने के लिए 50 दोस्तों को आमंत्रित करें और 5 टिकट प्राप्त करें। आपका समुदाय बढ़ रहा है!""","""Laden Sie 50 Freunde ein, M-SCI beizutreten, um 5 Stück-Tickets zu erhalten. Ihre Community wächst!"""
"""Community Leader""","""Community Leader""","""Lãnh tụ cộng đồng""","""Лидер сообщества""","""社区领袖""","""コミュニティリーダー""","""커뮤니티 리더""","""समुदाय नेता""","""Gemeindeleiter"""
