key,en,vi,ru,cn,jp,kr,in,de
"""BOX_NFT_CHARACTER""","""Open to receive a random character""","""Mở để nhận ngẫu nhiên nhân vật""","""Открыть для получения случайного персонажа""","""打开以随机获得一个角色""","""ランダムなキャラクターを受け取るために開く""","""랜덤 캐릭터를 받기 위해 열기""","""यादृच्छिक पात्र प्राप्त करने के लिए खोलें""","""Öffnen, um einen zufälligen Charakter zu erhalten"""
"""BOX_NFT_FRAGMENT""","""Open to receive a random character, get by invite user to the M-SCI""","""Mở để nhận ngẫu nhiên nhân vật, nhận bằng cách mời người dùng vào M-SCI""","""Открыть для получения случайного персонажа, получить пригласив пользователя в M-SCI""","""打开以随机获得一个角色，通过邀请用户加入 M-SCI 获取""","""ランダムなキャラクターを受け取るために開き、ユーザーを M-SCI に招待して入手""","""랜덤 캐릭터를 받기 위해 열고, 사용자를 M-SCI에 초대하여 받기""","""यादृच्छिक पात्र प्राप्त करने के लिए खोलें, M-SCI में उपयोगकर्ता को आमंत्रित करके प्राप्त करें""","""Öffnen, um einen zufälligen Charakter zu erhalten, indem Sie einen Benutzer zur M-SCI einladen"""
"""BOX_ALL_C_RANK""","""A box containing all C rank characters at level 1""","""Hộp chứa tất cả nhân vật hạng C ở cấp độ 1""","""Коробка, содержащая всех персонажей ранга C на уровне 1""","""包含所有等级 1 的 C 级角色的盒子""","""レベル1のCランクキャラクター全員が入ったボックス""","""레벨 1의 모든 C 등급 캐릭터가 포함된 상자""","""सभी स्तर 1 के C रैंक वाले पात्रों को शामिल करने वाला बॉक्स""","""Eine Box, die alle Charaktere des Ranges C auf Stufe 1 enthält"""
"""BOX_MARCUS""","""Open to receive Marcus at level 1""","""Mở để nhận Marcus ở cấp độ 1""","""Открыть для получения Маркуса на уровне 1""","""打开以获得等级 1 的马库斯""","""レベル1のマーカスを受け取るために開く""","""레벨 1의 마커스를 받기 위해 열기""","""स्तर 1 पर मार्कस प्राप्त करने के लिए खोलें""","""Öffnen, um Marcus auf Stufe 1 zu erhalten"""
"""BOX_DAVID""","""Open to receive David at level 1""","""Mở để nhận David ở cấp độ 1""","""Открыть для получения Давида на уровне 1""","""打开以获得等级 1 的大卫""","""レベル1のデイビッドを受け取るために開く""","""레벨 1의 데이비드를 받기 위해 열기""","""स्तर 1 पर डेविड प्राप्त करने के लिए खोलें""","""Öffnen, um David auf Stufe 1 zu erhalten"""
"""BOX_HENRY""","""Open to receive Henry at level 1""","""Mở để nhận Henry ở cấp độ 1""","""Открыть для получения Генри на уровне 1""","""打开以获得等级 1 的亨利""","""レベル1のヘンリーを受け取るために開く""","""레벨 1의 헨리를 받기 위해 열기""","""स्तर 1 पर हेनरी प्राप्त करने के लिए खोलें""","""Öffnen, um Henry auf Stufe 1 zu erhalten"""
"""BOX_PREMIUM_CHARACTER""","""A box containing all A rank characters at level 1 and unlocks a special avatar""","""Hộp chứa tất cả nhân vật hạng A ở cấp độ 1 và mở khóa một hình đại diện đặc biệt""","""Коробка, содержащая всех персонажей ранга А на уровне 1 и разблокирующая специальный аватар""","""包含所有等级 1 的 A 级角色并解锁特殊头像的盒子""","""レベル1のAランクキャラクター全員と特別なアバターをアンロックするボックス""","""레벨 1의 모든 A 등급 캐릭터와 특별 아바타를 잠금 해제하는 상자""","""स्तर 1 के सभी A रैंक वाले पात्रों और एक विशेष अवतार को अनलॉक करने वाला बॉक्स""","""Eine Box, die alle Charaktere des Ranges A auf Stufe 1 und einen speziellen Avatar enthält"""
"""DOGE_ENERGY""","""Increases character damage by 10% for the entire battle""","""Tăng sát thương nhân vật thêm 10% trong toàn bộ trận đấu""","""Увеличивает урон персонажа на 10% на протяжении всей битвы""","""整个战斗过程中增加角色伤害 10%""","""戦闘全体でキャラクターのダメージを10%増加""","""전투 전체 동안 캐릭터의 피해를 10% 증가""","""पूरी लड़ाई के दौरान पात्र के नुकसान को 10% बढ़ाता है""","""Erhöht den Schaden des Charakters für die gesamte Schlacht um 10%"""
"""MSCI_MEMORY""","""Keep one character in case of upgrade failure""","""Giữ lại một nhân vật trong trường hợp nâng cấp thất bại""","""Сохранить одного персонажа в случае неудачного улучшения""","""升级失败时保留一个角色""","""アップグレードに失敗した場合に1人のキャラクターを保持""","""업그레이드 실패 시 하나의 캐릭터를 유지""","""अपग्रेड विफलता के मामले में एक पात्र को रखें""","""Behalten Sie einen Charakter im Falle eines fehlgeschlagenen Upgrades"""
"""DOGE_SHIELD""","""Do not receive damage in 3s""","""Không nhận sát thương trong 3 giây""","""Не получать урон в течение 3 секунд""","""3 秒内不受到伤害""","""3秒間ダメージを受けない""","""3초 동안 피해를 받지 않음""","""3 सेकंड के लिए कोई नुकसान प्राप्त नहीं करें""","""Erhalten Sie 3 Sekunden lang keinen Schaden"""
"""BLIND_BAG""","""A mystery bag containing random rewards""","""Túi bí ẩn chứa các phần thưởng ngẫu nhiên""","""Таинственный мешок, содержащий случайные награды""","""包含随机奖励的神秘袋""","""ランダムな報酬が入ったミステリーバッグ""","""무작위 보상을 포함한 신비한 가방""","""यादृच्छिक पुरस्कारों को शामिल करने वाला एक रहस्यमय थैला""","""Ein mysteriöser Beutel mit zufälligen Belohnungen"""
"""WORLD_BOSS_BOX""","""A box containing random characters as rewards from World Boss battles""","""Hộp chứa các nhân vật ngẫu nhiên làm phần thưởng từ các trận đấu Trùm Thế Giới""","""Коробка, содержащая случайных персонажей как награды за бои с Мировым Боссом""","""包含来自世界首领战斗随机角色奖励的盒子""","""ワールドボスバトルからの報酬としてランダムなキャラクターを含むボックス""","""월드 보스 전투에서 보상으로 랜덤 캐릭터를 포함하는 상자""","""विश्व बॉस लड़ाइयों से इनाम के रूप में यादृच्छिक पात्रों को शामिल करने वाला एक बॉक्स""","""Eine Box, die zufällige Charaktere als Belohnungen aus Weltboss-Kämpfen enthält"""
"""ELITE_BOSS_BOX""","""An elite box containing random characters""","""Hộp tinh anh chứa các nhân vật ngẫu nhiên""","""Элитная коробка, содержащая случайных персонажей""","""包含随机角色的精英盒子""","""ランダムなキャラクターを含むエリートボックス""","""무작위 캐릭터가 포함된 엘리트 상자""","""यादृच्छिक पात्रों को शामिल करने वाला एक एलिट बॉक्स""","""Eine Elite-Box, die zufällige Charaktere enthält"""
