key,en,vi,ru,cn,jp,kr,in,de
"""Invite""","""Invite""","""Mời""","""Пригласить""","""邀请""","""招待する""","""초대하기""","""आमंत्रित करें""","""Einladen"""
"""Claim""","""Claim""","""Lấy""","""Получить""","""领取""","""受け取る""","""받기""","""दावा करें""","""Beanspruchen"""
"""Invite Link""","""Invite Link""","""Liên kết mời""","""Ссылка для приглашения""","""邀请链接""","""招待リンク""","""초대 링크""","""आमंत्रण लिंक""","""Einladungslink"""
"""Invite your friends to claim more rewards""","""Invite your friends to claim more rewards""","""Mời bạn để nhận nhiều quà hơn""","""Пригласите друзей заработать больше наград""","""邀请好友领取更多奖励""","""友達を招待して、もっと報酬を獲得しよう""","""친구를 초대하여 더 많은 보상을 받으세요""","""अपने दोस्तों को अधिक पुरस्कार प्राप्त करने के लिए आमंत्रित करें""","""Laden Sie Ihre Freunde ein, um mehr Belohnungen zu erhalten."""
"""Your ID: ""","""Your ID: ""","""Mã của bạn""","""Ваш ID: ""","""你的ID：""","""あなたのID：""","""당신의 ID:""","""आपका ID:""","""Ihre ID:"""
"""Thank you for your participation""","""Thank you for your participation""","""Cảm ơn sự tham gia của bạn""","""Спасибо за ваше участие""","""感谢您的参与""","""ご参加いただきありがとうございます""","""참여해 주셔서 감사합니다""","""आपकी भागीदारी के लिए धन्यवाद""","""Vielen Dank für Ihre Teilnahme."""
"""Dear {i} Warriors""","""Dear {i} Warriors""","""Chiến binh {i} thân mến""","""Дорогие воины {i}""","""亲爱的{i}战士们""","""親愛なる{i}の戦士たちよ""","""소중한 {i} 전사 여러분""","""प्रिय {i} योद्धाओं""","""Liebe {i} Krieger"""
"""ThanksContent""","""We are absolutely thrilled to welcome the {i} community to the vibrant world of M-SCI! This marks a significant milestone as two gaming universes come together to deliver exciting and unique experiences for players.\nWith an enticing reward of 10,000 Chips and 1 character box awaiting you, this is bound to be an unforgettable adventure. We hope that every Hamster warrior will savor each moment of their journey in exploring M-SCI.\nShare this joy with your friends in the {i} community! Every new member joining us will make our community even more dynamic and enriching. Together, we will create wonderful memories and forge new friendships in the world of M-SCI.\nWishing you an extraordinary experience! Let’s conquer challenges and craft unforgettable stories together!""","""Chúng tôi vô cùng hào hứng chào đón cộng đồng {i} đến với thế giới sôi động của M-SCI! Đây là một cột mốc quan trọng khi hai vũ trụ game hợp nhất để mang đến những trải nghiệm độc đáo và đầy hấp dẫn cho người chơi.\nVới phần thưởng hấp dẫn gồm 10.000 Chips và 1 hộp nhân vật đang chờ đón bạn, đây chắc chắn sẽ là một cuộc phiêu lưu khó quên. Chúng tôi hy vọng rằng mỗi chiến binh Hamster sẽ tận hưởng từng khoảnh khắc trong hành trình khám phá M-SCI.\nHãy chia sẻ niềm vui này với bạn bè trong cộng đồng {i}! Mỗi thành viên mới tham gia sẽ làm cho cộng đồng của chúng ta thêm sôi động và phong phú hơn. Cùng nhau, chúng ta sẽ tạo nên những kỷ niệm tuyệt vời và xây dựng những tình bạn mới trong thế giới M-SCI.\nChúc bạn có một trải nghiệm tuyệt vời! Hãy cùng chinh phục thử thách và viết nên những câu chuyện đáng nhớ!""","""Мы очень рады приветствовать сообщество {i} в ярком мире M-SCI! Это важная веха, когда два игровых мира объединяются, чтобы предложить игрокам увлекательные и уникальные впечатления.\nВас ждут захватывающие награды: 10 000 фишек и 1 коробка с персонажем — это будет незабываемое приключение. Мы надеемся, что каждый воин Hamster насладится каждым моментом своего путешествия в исследовании M-SCI.\nПоделитесь этой радостью с друзьями из сообщества {i}! Каждый новый участник сделает наше сообщество еще более динамичным и богатым. Вместе мы создадим прекрасные воспоминания и заведем новые дружеские связи в мире M-SCI.\nЖелаем вам исключительного опыта! Давайте вместе преодолевать вызовы и создавать незабываемые истории!""","""我们非常激动地欢迎{i}社区加入充满活力的M-SCI世界！这是两个游戏宇宙结合的重要里程碑，为玩家带来令人兴奋且独特的体验。\n您将获得诱人的奖励：10,000筹码和1个角色宝箱，这无疑将是一场难忘的冒险。我们希望每位仓鼠战士都能享受探索M-SCI的每一刻。\n与{i}社区的朋友分享这份喜悦吧！每个新成员的加入都会让我们的社区更加活跃和丰富。让我们一起创造美好回忆，在M-SCI的世界中建立新的友谊。\n祝您拥有非凡的体验！让我们一起迎接挑战，书写难忘的故事吧！""","""私たちは{i}コミュニティを活気あふれるM-SCIの世界へお迎えできることに大変興奮しています！これは二つのゲーム宇宙が合流し、プレイヤーにエキサイティングでユニークな体験を提供する重要な節目です。\nあなたには魅力的な10,000チップと1キャラクターボックスの報酬が待っています。これにより、忘れられない冒険となるでしょう。すべてのハムスター戦士がM-SCIを探索する旅の一瞬一瞬を楽しむことを願っています。\nこの喜びを{i}コミュニティの友人たちと分かち合いましょう！新しいメンバーが加わるたびに、私たちのコミュニティはさらに活発で充実したものになります。一緒に素晴らしい思い出を作り、M-SCIの世界で新しい友情を築きましょう。\n素晴らしい体験になることを祈っています！共に挑戦を乗り越え、忘れられない物語を紡ぎましょう！""","""우리는 {i} 커뮤니티를 다채로운 M-SCI 세계에 초대하게 되어 매우 기쁩니다! 이는 두 게임 유니버스가 결합하여 플레이어들에게 흥미진진하고 독특한 경험을 제공하는 중요한 이정표입니다.\n당신을 기다리는 매력적인 보상으로 10,000 칩과 1개의 캐릭터 상자가 준비되어 있으며, 잊지 못할 모험이 될 것입니다. 우리는 모든 햄스터 전사들이 M-SCI를 탐험하는 여정의 순간을 만끽하기를 바랍니다.\n이 기쁨을 {i} 커뮤니티의 친구들과 공유하세요! 새로운 멤버가 우리에게 합류할 때마다 우리의 커뮤니티는 더욱 역동적이고 풍부해질 것입니다. 함께 멋진 추억을 만들고 M-SCI의 세계에서 새로운 우정을 만들어 나갑시다.\n특별한 경험을 기원합니다! 도전을 함께 극복하고 잊지 못할 이야기를 만들어 봅시다!""","""हम {i} समुदाय को जीवंत M-SCI दुनिया में स्वागत करते हैं! यह एक महत्वपूर्ण मील का पत्थर है जब दो गेमिंग ब्रह्मांड मिलकर खिलाड़ियों के लिए रोमांचक और अनोखे अनुभव प्रदान करते हैं।\nआपको 10,000 चिप्स और 1 कैरेक्टर बॉक्स का आकर्षक इनाम मिलने वाला है, यह एक अनमोल सफर होगा। हम उम्मीद करते हैं कि हर हैम्स्टर योद्धा M-SCI की खोज में हर पल का आनंद लेगा।\nइस खुशी को {i} समुदाय के दोस्तों के साथ साझा करें! हर नए सदस्य के शामिल होने से हमारा समुदाय और भी गतिशील और समृद्ध होगा। एक साथ, हम M-SCI की दुनिया में अद्भुत यादें बनाएंगे और नई दोस्ती का निर्माण करेंगे।\nआपको असाधारण अनुभव की कामना! चुनौतियों पर विजय पाएं और अविस्मरणीय कहानियां बनाएं!""","""Wir freuen uns sehr, die {i}-Community in der lebendigen Welt von M-SCI willkommen zu heißen! Dies ist ein bedeutender Meilenstein, da sich zwei Spieleuniversen vereinen, um den Spielern spannende und einzigartige Erlebnisse zu bieten.\nMit einem verlockenden Preis von 10.000 Chips und einer Charakterbox wartet auf Sie ein unvergessliches Abenteuer. Wir hoffen, dass jeder Hamster-Krieger jeden Moment seiner Reise durch M-SCI genießen wird.\nTeilen Sie diese Freude mit Ihren Freunden in der {i}-Community! Jedes neue Mitglied, das sich uns anschließt, macht unsere Community noch dynamischer und bereichernder. Zusammen werden wir wunderbare Erinnerungen schaffen und neue Freundschaften in der Welt von M-SCI knüpfen.\nWir wünschen Ihnen ein außergewöhnliches Erlebnis! Lassen Sie uns gemeinsam Herausforderungen meistern und unvergessliche Geschichten schreiben!"""
"""Airdrop for Hamster Kombat Community""","""Airdrop for Hamster Kombat Community""","""Airdrop cho cộng đồng Hamster Kombat""","""Аирдроп для сообщества Hamster Kombat""","""Hamster Kombat社区空投""","""ハムスターコンバットコミュニティへのエアドロップ""","""햄스터 컴뱃 커뮤니티 에어드랍""","""हैम्स्टर कॉम्बैट समुदाय के लिए एयरड्रॉप""","""Airdrop für die Hamster Kombat-Community"""
"""Airdrop for Dogs Community""","""Airdrop for Dogs Community""","""Airdrop cho cộng đồng Dogs""","""Аирдроп для сообщества Dogs""","""Dogs社区空投""","""ドッグコミュニティへのエアドロップ""","""독스 커뮤니티 에어드랍""","""डॉग्स समुदाय के लिए एयरड्रॉप""","""Airdrop für die Dogs-Community"""
