key,en,vi,ru,cn,jp,kr,in,de
"""Go""","""Go""","""Đi""","""Идти""","""去""","""行く""","""가기""","""जाओ""","""Gehen"""
"""Claim""","""Claim""","""Lấy""","""Получить""","""领取""","""受け取る""","""받기""","""दावा करें""","""Anspruch"""
"""Invite""","""Invite""","""Mời""","""Пригласить""","""邀请""","""招待する""","""초대하기""","""आमंत्रित करें""","""Einladen"""
"""Follow Twitter X""","""Follow Twitter X""","""Theo dõi Twitter X""","""Подпишитесь на Twitter X""","""关注Twitter X""","""Twitter Xをフォロー""","""Twitter X 팔로우""","""Twitter X का अनुसरण करें""","""Folge Twitter X"""
"""Follow Youtube Channel""","""Follow Youtube Channel""","""Theo dõi kênh Youtube""","""Подпишитесь на канал Youtube""","""关注Youtube频道""","""Youtubeチャンネルをフォロー""","""Youtube 채널 구독""","""Youtube चैनल का अनुसरण करें""","""Youtube-Kanal folgen"""
"""Follow Tiktok Channel""","""Follow Tiktok Channel""","""Theo dõi kênh Tiktok""","""Подпишитесь на канал Tiktok""","""关注Tiktok频道""","""Tiktokチャンネルをフォロー""","""Tiktok 채널 팔로우""","""Tiktok चैनल का अनुसरण करें""","""Tiktok-Kanal folgen"""
"""Follow Facebook Page""","""Follow Facebook Page""","""Theo dõi trang Facebook""","""Подпишитесь на страницу Facebook""","""关注Facebook页面""","""Facebookページをフォロー""","""Facebook 페이지 팔로우""","""Facebook पेज का अनुसरण करें""","""Facebook-Seite folgen"""
"""Follow Telegram Channel""","""Follow Telegram Channel""","""Theo dõi kênh Telegram""","""Подпишитесь на канал Telegram""","""关注Telegram频道""","""Telegramチャンネルをフォロー""","""Telegram 채널 구독""","""Telegram चैनल का अनुसरण करें""","""Telegram-Kanal folgen"""
"""Join Telegram Community""","""Join Telegram Community""","""Tham gia cộng đồng Telegram""","""Присоединяйтесь к сообществу Telegram""","""加入Telegram社区""","""Telegramコミュニティに参加""","""Telegram 커뮤니티 참가""","""Telegram समुदाय में शामिल हों""","""Telegram-Community beitreten"""
"""Watch, like and comment to the Youtube video""","""Watch, like and comment to the Youtube video""","""Xem, thích, bình luận video Youtube""","""Смотрите, ставьте лайк и комментируйте видео на Youtube""","""观看、点赞并评论Youtube视频""","""Youtubeの動画を視聴、いいね、コメント""","""Youtube 동영상 시청, 좋아요 및 댓글 작성""","""Youtube वीडियो देखें, पसंद करें और कमेंट करें""","""Youtube-Video ansehen, liken und kommentieren"""
"""Retweet Twitter X Post""","""Retweet Twitter X Post""","""Đăng lại Twitter X Post""","""Ретвитнуть пост Twitter X""","""转发Twitter X帖子""","""Twitter Xの投稿をリツイート""","""Twitter X 게시물 리트윗""","""Twitter X पोस्ट रीट्वीट करें""","""Twitter X-Beitrag retweeten"""
"""Like Twitter X Post""","""Like Twitter X Post""","""Thích Twitter X Post""","""Лайкнуть пост Twitter X""","""点赞Twitter X帖子""","""Twitter Xの投稿をいいね""","""Twitter X 게시물 좋아요""","""Twitter X पोस्ट को पसंद करें""","""Twitter X-Beitrag liken"""
"""Like and comment to the Telegram channel""","""Like and comment to the Telegram channel""","""Thích và bình luận Telegram channel""","""Лайкнуть и прокомментировать в Telegram канале""","""点赞并评论Telegram频道""","""Telegramチャンネルにいいねしてコメントする""","""Telegram 채널에 좋아요하고 댓글 달기""","""Telegram चैनल को पसंद करें और कमेंट करें""","""Telegram-Kanal liken und kommentieren"""
