key,en,vi,ru,cn,jp,kr,in,de
"""Yes""","""Yes""","""Đồng ý""","""Да""","""是""","""はい""","""예""","""हाँ""","""Ja"""
"""No""","""No""","""Không""","""Нет""","""不是""","""いいえ""","""아니요""","""नहीं""","""Nein"""
"""Enter amount""","""Enter amount""","""Nhập số lượng""","""Введите сумму""","""输入金额""","""金額を入力""","""금액 입력""","""राशि दर्ज करें""","""Betrag eingeben"""
"""Do you want to buy {i} with {i} M-Coin""","""Do you want to buy {i} with {i} M-Coin""","""Mua {i} với {i} M-Coin""","""Купить {i} за {i} M-Coin?""","""用{i} M-Coin购买{i}吗？""","""{i}を{i} M-Coinで購入しますか？""","""{i}를 {i} M-Coin으로 구매하시겠습니까?""","""क्या आप {i} को {i} M-Coin से खरीदना चाहते हैं?""","""Möchten Sie {i} mit {i} M-Coin kaufen?"""
"""Do you want to buy {i} with {i} Chip""","""Do you want to buy {i} with {i} Chip""","""Mua {i} với {i} Chip""","""Купить {i} за {i} Чипов?""","""用{i}芯片购买{i}吗？""","""{i}を{i}チップで購入しますか？""","""{i}를 {i} 칩으로 구매하시겠습니까?""","""क्या आप {i} को {i} चिप्स से खरीदना चाहते हैं?""","""Möchten Sie {i} mit {i} Chips kaufen?"""
"""Do you want to use the ticket?""","""Do you want to use the ticket?""","""Sử dụng vé?""","""Использовать билет?""","""使用票吗？""","""チケットを使用しますか？""","""티켓을 사용하시겠습니까?""","""क्या आप टिकट का उपयोग करना चाहते हैं?""","""Möchten Sie das Ticket verwenden?"""
"""Do you want to open the box?""","""Do you want to use the box?""","""Sử dụng hộp?""","""Открыть коробку?""","""打开盒子吗？""","""ボックスを開きますか？""","""박스를 여시겠습니까?""","""क्या आप बॉक्स खोलना चाहते हैं?""","""Möchten Sie die Box öffnen?"""
"""Do you want to buy the box?""","""Do you want to buy the box?""","""Mua thêm hộp?""","""Купить коробку?""","""要买盒子吗？""","""箱を買いますか？""","""박스를 구매하시겠습니까?""","""क्या आप बॉक्स खरीदना चाहते हैं?""","""Möchten Sie die Box kaufen?"""
"""Remaining: ""","""Remaining: ""","""Còn lại: ""","""Осталось: ""","""剩余：""","""残り：""","""남은 수량: ""","""शेष: ""","""Verbleibend: """
"""Quantity: ""","""Quantity: ""","""Số lượng: ""","""Количество: ""","""数量：""","""数量：""","""수량: ""","""मात्रा: ""","""Menge: """
"""No items to buy""","""No items to buy""","""Đã hết vật phẩm""","""Нет товаров для покупки""","""没有可购买的物品""","""購入可能なアイテムがありません""","""구매할 아이템이 없습니다""","""खरीदने के लिए कोई वस्तुएँ नहीं हैं""","""Keine Gegenstände zum Kaufen"""
"""Not enough M-Coin""","""Not enough M-Coin""","""Không đủ M-Coin""","""Недостаточно M-Coin""","""M-Coin不足""","""M-Coinが足りません""","""M-Coin이 부족합니다""","""M-Coin पर्याप्त नहीं है""","""Nicht genügend M-Coin"""
"""Not enough Chip""","""Not enough Chip""","""Không đủ Chip""","""Недостаточно Чипов""","""芯片不足""","""チップが足りません""","""칩이 부족합니다""","""चिप्स पर्याप्त नहीं हैं""","""Nicht genügend Chips"""
"""Number must not be empty""","""Number must not be empty""","""Số lượng không được bỏ trống""","""Поле числа не может быть пустым""","""数量不能为空""","""数量は空にできません""","""수량은 비워둘 수 없습니다""","""संख्या खाली नहीं हो सकती""","""Die Zahl darf nicht leer sein"""
"""Transaction success""","""Transaction success""","""Giao dịch thành công""","""Транзакция успешна""","""交易成功""","""取引が成功しました""","""거래 성공""","""लेनदेन सफल""","""Transaktion erfolgreich"""
"""Character ticket""","""Character ticket""","""Vé nhân vật""","""Билет персонажа""","""角色券""","""キャラクターチケット""","""캐릭터 티켓""","""चरित्र टिकट""","""Charakter-Ticket"""
"""Piece ticket""","""Piece ticket""","""Vé mảnh""","""Билет фрагмента""","""碎片券""","""ピースチケット""","""조각 티켓""","""टुकड़ा टिकट""","""Teil-Ticket"""
"""C Characters Box""","""C Characters Box""","""Hộp nhân vật C""","""Коробка персонажей C""","""C级角色盒""","""C級キャラクターボックス""","""C등급 캐릭터 박스""","""C चरित्र बॉक्स""","""C-Charakter-Box"""
"""Marcus box""","""Marcus box""","""Hộp Marcus""","""Коробка Маркуса""","""马库斯盒""","""マーカスボックス""","""마커스 박스""","""मार्कस बॉक्स""","""Marcus-Box"""
"""David box""","""David box""","""Hộp David""","""Коробка Дэвида""","""大卫盒""","""デイビッドボックス""","""데이비드 박스""","""डेविड बॉक्स""","""David-Box"""
"""Henry box""","""Henry box""","""Hộp Henry""","""Коробка Генри""","""亨利盒""","""ヘンリーボックス""","""헨리 박스""","""हेनरी बॉक्स""","""Henry-Box"""
"""Premium Character Box""","""Premium Character Box""","""Hộp Nhân vật hiếm""","""Премиум коробка персонажей""","""高级角色盒""","""プレミアムキャラクターボックス""","""프리미엄 캐릭터 박스""","""प्रीमियम चरित्र बॉक्स""","""Premium-Charakter-Box"""
"""MSCI Memory""","""MSCI Memory""","""Thẻ nhớ MSCI""","""MSCI Память""","""MSCI记忆卡""","""MSCIメモリーカード""","""MSCI 메모리 카드""","""MSCI मेमोरी कार्ड""","""MSCI-Speicherkarte"""
"""DOGE Energy""","""DOGE Energy""","""Năng lượng DOGE""","""DOGE Энергия""","""DOGE能量""","""DOGEエネルギー""","""도지 에너지""","""DOGE ऊर्जा""","""DOGE-Energie"""
"""DOGE Shield""","""DOGE Shield""","""Khiên DOGE""","""DOGE Щит""","""DOGE护盾""","""DOGEシールド""","""도지 실드""","""DOGE ढाल""","""DOGE-Schild"""
"Blind Bag","Blind Bag","Túi mù","Слепой пакет","盲袋","ブラインドバッグ","블라인드 백","ब्लाइंड बैग","Blindbeutel"
"""Do you want to buy Vip with 100 M-Coin/month""","""Do you want to buy Vip with 100 M-Coin/month""","""Mua gói Vip với 100 M-Coin/tháng""","""Хотите купить VIP за 100 M-Coin/месяц?""","""你想用100 M-Coin/月购买VIP吗？""","""100 M-Coin/月でVIPを購入しますか？""","""100 M-Coin/월로 VIP를 구매하시겠습니까?""","""क्या आप 100 M-Coin/माह के साथ VIP खरीदना चाहते हैं?""","""Möchten Sie VIP für 100 M-Coin/Monat kaufen?"""
"""M-Coin/month""","""M-Coin/month""","""M-Coin/tháng""","""M-Coin/месяц""","""M-Coin/月""","""M-Coin/月""","""M-Coin/월""","""M-Coin/माह""","""M-Coin/Monat"""
"""x2 daily chip earned for a completed campaign battle""","""x2 daily chip earned for a completed campaign battle""","""x2 Chip nhận hàng ngày cho mỗi một trận đánh Chiến dịch""","""x2 ежедневных чипа за завершенный бой кампании""","""完成战役战斗后每日获得x2芯片""","""キャンペーンバトル完了でx2のデイリーチップ獲得""","""캠페인 전투 완료 시 x2 일일 칩 획득""","""पूर्ण अभियान युद्ध के लिए x2 दैनिक चिप प्राप्त कीजिए""","""x2 tägliche Chips für abgeschlossene Kampagnenschlachten"""
"""Automatic attendance""","""Automatic attendance""","""Tự động điểm danh""","""Автоматическая регистрация посещаемости""","""自动签到""","""自動出席""","""자동 출석""","""स्वचालित उपस्थिति""","""Automatische Anwesenheit"""
"""Increase the upgrade success rate by 5%""","""Increase the upgrade success rate by 5%""","""Tăng tỷ lệ nâng cấp anh hùng lên 5%""","""Увеличить шанс успешного улучшения на 5%""","""将升级成功率提高5%""","""強化成功率を5%増加""","""업그레이드 성공률 5% 증가""","""अपग्रेड सफलता दर 5% बढ़ाएं""","""Erhöhen Sie die Erfolgsrate der Verbesserung um 5%"""
"""20% discount on fees when trading on OTC""","""20% discount on fees when trading on OTC""","""Giảm 20% phí giao dịch OTC""","""Скидка 20% на комиссии при торговле на OTC""","""在OTC交易时享受20%的手续费折扣""","""OTC取引時の手数料が20%オフ""","""OTC 거래 시 수수료 20% 할인""","""OTC ट्रेडिंग पर शुल्क में 20% की छूट""","""20% Rabatt auf Gebühren beim Handel über OTC"""
"""Use""","""Use""","""Dùng""","""Использовать""","""使用""","""使用する""","""사용""","""उपयोग करें""","""Verwenden"""
"""Sell to market""","""Sell to market""","""Bán lên chợ""","""Продать на рынок""","""出售到市场""","""市場に売る""","""시장에 판매""","""बाजार में बेचें""","""Auf den Markt verkaufen"""
"""Liquidation""","""Liquidation""","""Thanh lý""","""Ликвидация""","""清算""","""清算""","""청산""","""तरलीकरण""","""Liquidation"""
"""Combine""","""Combine""","""Ghép""","""Объединить""","""合并""","""結合""","""결합""","""जोड़ना""","""Kombinieren"""
