key,en,vi,ru,cn,jp,kr,in,de
"""Character""","""Character""","""Nhân vật""","""Персонаж""","""角色""","""キャラクター""","""캐릭터""","""चरित्र""","""Charakter"""
"""Items""","""Items""","""Vật phẩm""","""Предметы""","""物品""","""アイテム""","""아이템""","""वस्तुएँ""","""Gegenstände"""
"""Sell""","""Sell""","""Bán""","""Продать""","""出售""","""売る""","""판매""","""बेचना""","""Verkaufen"""
"""Buy""","""Buy""","""Mua""","""Купить""","""购买""","""買う""","""구매""","""खरीदना""","""Kaufen"""
"""Cancel""","""Cancel""","""Hủy""","""Отменить""","""取消""","""キャンセル""","""취소""","""रद्द करना""","""Abbrechen"""
"""Market""","""Market""","""Chợ""","""Рынок""","""市场""","""市場""","""시장""","""बाजार""","""Markt"""
"""Orders""","""Orders""","""Lệnh""","""Заказы""","""订单""","""注文""","""주문""","""आदेश""","""Bestellungen"""
"""History""","""History""","""Lịch sử""","""История""","""历史""","""履歴""","""기록""","""इतिहास""","""Verlauf"""
"""Level""","""Level""","""Cấp""","""Уровень""","""等级""","""レベル""","""레벨""","""स्तर""","""Stufe"""
"""Star""","""Star""","""Sao""","""Звезда""","""星星""","""スター""","""별""","""तारा""","""Stern"""
"""Quantity""","""Quantity""","""Số lượng""","""Количество""","""数量""","""数量""","""수량""","""मात्रा""","""Menge"""
"""Character in order""","""Character in order""","""Nhân vật đặt lệnh thành công""","""Персонаж в заказе""","""订单中的角色""","""注文内のキャラクター""","""주문 내 캐릭터""","""आदेश में पात्र""","""Charakter in der Bestellung"""
"""Item in order""","""Item in order""","""Vật phẩm đặt lệnh thành công""","""Предмет в заказе""","""订单中的物品""","""注文内のアイテム""","""주문 내 아이템""","""आदेश में वस्तु""","""Artikel in der Bestellung"""
"""Transaction fee (5%): {i} M-Coin""","""Transaction fee (5%): {i} M-Coin""","""Phí giao dịch (5%): {i} M-Coin""","""Комиссия за транзакцию (5%): {i} M-Coin""","""交易费用 (5%)：{i} M-Coin""","""取引手数料 (5%)：{i} M-Coin""","""거래 수수료 (5%)：{i} M-Coin""","""लेनदेन शुल्क (5%)： {i} M-Coin""","""Transaktionsgebühr (5%)： {i} M-Coin"""
"""Enter M-coin price""","""Enter M-coin price""","""Nhập giá M-Coin""","""Введите цену M-Coin""","""输入M-Coin价格""","""M-Coin価格を入力""","""M-Coin 가격 입력""","""M-Coin मूल्य दर्ज करें""","""M-Coin Preis eingeben"""
"""Enter quantity""","""Enter quantity""","""Nhập số lượng""","""Введите количество""","""输入数量""","""数量を入力""","""수량 입력""","""मात्रा दर्ज करें""","""Menge eingeben"""
"""Enter price per unit""","""Enter price per unit""","""Nhập giá một đơn vị""","""Введите цену за единицу""","""输入单价""","""単価を入力""","""단가 입력""","""प्रति यूनिट मूल्य दर्ज करें""","""Preis pro Einheit eingeben"""
"""from ""","""from ""","""từ ""","""от ""","""从 ""","""から ""","""부터 ""","""से ""","""von """
""" to """,""" to """,""" đến """,""" до ""","""到 ""","""まで ""","""까지 ""","""तक ""","""bis """
"""Orders History""","""Orders History""","""Lịch sử lệnh""","""История заказов""","""订单历史""","""注文履歴""","""주문 기록""","""आदेश इतिहास""","""Bestellverlauf"""
"Base price","Base price","Giá khớp","Базовая цена","基础价格","ベース価格","기준 가격","मूलभूत मूल्य","Grundpreis"
"Floor price","Floor price","Giá sàn","Минимальная цена","最低价格","最低価格","최저 가격","न्यूनतम मूल्य","Mindestpreis"
"Top price","Top price","Giá trần","Максимальная цена","最高价格","最高価格","최고 가격","अधिकतम मूल्य","Höchstpreis"
"Order price","Order price","Giá lệnh","Цена заказа","订单价格","注文価格","주문 가격","आदेश मूल्य","Bestellpreis"
"Select","Select","Chọn","Выбрать","选择","選択","선택","चुनें","Auswählen"
"Items","Items","Vật phẩm","Предметы","物品","アイテム","아이템","वस्तुएँ","Gegenstände"
"Hero Pieces","Hero Pieces","Mảnh anh hùng","Осколки героя","英雄碎片","ヒーローのかけら","영웅 조각","नायक के टुकड़े","Heldenstücke"
"Sold quantity","Sold quantity","Đã bán","Осколки героя","英雄碎片","ヒーローのかけら","영웅 조각","नायक के टुकड़े","Heldenstücke"
"Remaining quantity","Remaining quantity","Còn lại","Осколки героя","英雄碎片","ヒーローのかけら","영웅 조각","नायक के टुकड़े","Heldenstücke"
"""Order quantity""","""Order quantity""","""Đã đặt""","""Количество заказа""","""订单数量""","""注文数量""","""주문 수량""","""आदेश मात्रा""","""Bestellmenge"""
"""Quantity to match""","""Quantity to match""","""Số lượng chờ""","""Количество для совпадения""","""匹配数量""","""一致させる数量""","""일치시킬 수량""","""मिलान करने की मात्रा""","""Menge zum Abgleichen"""
"""Price""","""Price""","""Giá""","""Цена""","""价格""","""価格""","""가격""","""कीमत""","""Preis"""
