key,en,vi,ru,cn,jp,kr,in,de
"""Do you want to buy {i} with {i} Musk""","""Do you want to buy {i} with {i} Musk""","""Bạn có muốn mua {i} với {i} Musk""","""Хотите купить {i} за {i} Маска?""","""你想用{i}马斯克购买{i}吗？""","""{i}を{i}マスクで買いますか？""","""{i}를 {i} 머스크로 구매하시겠습니까?""","""क्या आप {i} मस्क के साथ {i} खरीदना चाहते हैं?""","""Möchten Sie {i} mit {i} Musk kaufen?"""
"""Transaction success, thanks.""","""Transaction success, thanks.""","""Giao dịch thành công, cảm ơn."""","""Сделка успешна, спасибо.""","""交易成功，谢谢。""","""取引成功、ありがとうございます。""","""거래 성공, 감사합니다.""","""लेनदेन सफल, धन्यवाद।""","""Transaktion erfolgreich, danke."""
"""Language""","""Language""","""Ngôn ngữ""","""Язык""","""语言""","""言語""","""언어""","""भाषा""","""Sprache"""
"""Daily Chip reward: ""","""Daily Chip reward: ""","""Chip hàng ngày: ""","""Ежедневный бонус: ""","""每日奖励：""","""毎日ボーナス：""","""일일 보상: ""","""दैनिक इनाम: ""","""Täglicher Bonus: """
"""Yes""","""Yes""","""Đồng ý""","""Да""","""是""","""はい""","""예""","""हाँ""","""Ja"""
"""No""","""No""","""Không""","""Нет""","""不是""","""いいえ""","""아니요""","""नहीं""","""Nein"""
"""Use""","""Use""","""Dùng""","""Использовать""","""使用""","""使用""","""사용""","""उपयोग""","""Benutzen"""
"""Confirm""","""Confirm""","""Xác nhận""","""Подтвердить""","""确认""","""確認""","""확인""","""पुष्टि करें""","""Bestätigen"""
"""Claim""","""Claim""","""Nhận""","""Получить""","""领取""","""受け取る""","""받기""","""दावा करें""","""Einsammeln"""
"""Enter your gift code""","""Enter your gift code""","""Nhập mã quà""","""Введите подарочный код""","""输入您的礼品代码""","""ギフトコードを入力してください""","""선물 코드를 입력하세요""","""गिफ्ट कोड दर्ज करें""","""Geben Sie Ihren Geschenkcode ein"""
"""Code invalid""","""Code invalid""","""Mã không khả dụng""","""Введите подарочный код""","""输入您的礼品代码""","""ギフトコードを入力してください""","""선물 코드를 입력하세요""","""गिफ्ट कोड दर्ज करें""","""Geben Sie Ihren Geschenkcode ein"""
"""Code must not be empty""","""Code must not be empty""","""Mã không được để trống""","""Введите подарочный код""","""输入您的礼品代码""","""ギフトコードを入力してください""","""선물 코드를 입력하세요""","""गिफ्ट कोड दर्ज करें""","""Geben Sie Ihren Geschenkcode ein"""
"""Days""","""Days""","""Ngày""","""Дни""","""天""","""日""","""일""","""दिन""","""Tage"""
"""Coming soon...""","""Coming soon...""","""Sẽ sớm khả dụng...""","""Скоро...""","""即将推出...""","""近日公開...""","""곧 출시...""","""जल्द आ रहा है...""","""Demnächst verfügbar..."""
"""M-Coin withdraw max 1000 M-Coin/Day""","""M-Coin withdraw max 1000 M-Coin/Day""","""Rút M-Coin tối đa 1000 M-Coin/Ngày""","""Максимальный вывод M-Coin: 1000 M-Coin/день""","""每天最多提取1000 M-Coin的M-Coin""","""M-Coinの最大引き出しは1000 M-Coin/日""","""하루 최대 1000 M-Coin의 M-Coin 출금""","""अधिकतम 1000 M-Coin/दिन का M-Coin निकासी""","""Maximal 1000 M-Coin/Tag M-Coin abheben"""
"""SYSTEM MAINTENANCE ANNOUNCEMENT""","""SYSTEM MAINTENANCE ANNOUNCEMENT""","""THÔNG BÁO BẢO TRÌ HỆ THỐNG""","""ОБЪЯВЛЕНИЕ О ТЕХНИЧЕСКОМ ОБСЛУЖИВАНИИ СИСТЕМЫ""","""系统维护公告""","""システムメンテナンスのお知らせ""","""시스템 유지보수 공지""","""सिस्टम मेंटेनेंस की घोषणा""","""SYSTEMWARTUNGSANKÜNDIGUNG"""
"""Dear M-SCI gamers,""","""Dear M-SCI gamers,""","""Kính gửi các game thủ M-SCI,""","""Уважаемые игроки M-SCI,""","""亲爱的M-SCI玩家，""","""M-SCIのゲーマーのみなさまへ、""","""M-SCI 게이머 여러분께,""","""प्रिय M-SCI गेमर्स,""","""Liebe M-SCI-Spieler,"""
